('SLOAN/SDSS.g', 'Error', 'Jy', '4671.7822137652', '1064.6831251069', '1.227166526492581')
('SLOAN/SDSS.r', 'Error', 'Jy', '6141.1230039377', '1055.5126512194', '0.8388260369861025')
('SLOAN/SDSS.i', 'Error', 'Jy', '7457.889035897', '1102.565344818', '0.6212377101268327')
('SLOAN/SDSS.z', 'Error', 'Jy', '8922.7797236408', '1164.0149198605', '0.4589320917557485')
('Skymapper/Skymapper.u', 'Error', 'Jy', '3498.1528728747', '425.25264516129', '1.580968506234225')
('Skymapper/Skymapper.v', 'Error', 'Jy', '3870.924588194', '318.8', '1.4614220561958524')
('Skymapper/Skymapper.g', 'Error', 'Jy', '4968.4587992996', '1477.4871', '1.1317128776524823')
('Skymapper/Skymapper.r', 'Error', 'Jy', '6040.0724488558', '1523.3312952005', '0.858890600736337')
('Skymapper/Skymapper.i', 'Error', 'Jy', '7712.9457077529', '1201.5860055098', '0.5877479144632987')
('Skymapper/Skymapper.z', 'Error', 'Jy', '9091.4981925418', '1112.8222149659', '0.44429984444636916')
('GALEX/GALEX.FUV', 'Error', 'Jy', '1549.0192991969', '265.56616531096', '2.5479579233803236')
('GALEX/GALEX.NUV', 'Error', 'Jy', '2304.7376448479', '768.31342963301', '2.7812154258073605')
('Generic/Johnson_UBVRIJHKL.U', 'Error', 'Jy', '3570.6473096123', '657.0', '1.5560876893350266')
('Generic/Johnson_UBVRIJHKL.B', 'Error', 'Jy', '4378.3807583069', '1011.7021276596', '1.3155675715322954')
('Generic/Johnson_UBVRIJHKL.V', 'Error', 'Jy', '5466.1139959554', '889.65396825397', '0.9864632077720379')
('Generic/Johnson_UBVRIJHKL.R', 'Error', 'Jy', '6695.5844650275', '2069.9685925926', '0.7374586866063586')
('Generic/Johnson_UBVRIJHKL.I', 'Error', 'Jy', '8565.1440518845', '2315.9969886621', '0.4924032373778576')
('Generic/Johnson_UBVRIJHKL.J', 'Error', 'Jy', '12100.904356028', '3193.5483870968', '0.2711102369610883')
('Generic/Johnson_UBVRIJHKL.H', 'Error', 'Jy', '16303.578563585', '2862.6263568148', '0.16857823537227418')
('Generic/Johnson_UBVRIJHKL.K', 'Error', 'Jy', '21420.344090938', '5784.8362666667', '0.1136919502322592')
('Generic/Johnson_UBVRIJHKL.LI', 'Error', 'Jy', '34450.156249268', '8799.98', '0.06394113950685076')
('Generic/Johnson_UBVRIJHKL.M', 'Error', 'Jy', '48906.067815836', '11280.00104', '0.06394113950685076')
('Generic/Johnson_UBVRIJHKL.N', 'Error', 'Jy', '92055.941781148', '43744.436381959', '0.06394113950685076')
('Generic/Johnson_UBVRIJHKL.B', 'Error', 'Jy', '4378.3807583069', '1011.7021276596', '1.3155675715322954.1')
('Generic/Johnson_UBVRIJHKL.V', 'Error', 'Jy', '5466.1139959554', '889.65396825397', '0.9864632077720379.1')
('SLOAN/SDSS.g', 'Error', 'Jy', '4671.7822137652', '1064.6831251069', '1.227166526492581.1')
('SLOAN/SDSS.r', 'Error', 'Jy', '6141.1230039377', '1055.5126512194', '0.8388260369861025.1')
('SLOAN/SDSS.i', 'Error', 'Jy', '7457.889035897', '1102.565344818', '0.6212377101268327.1')
('SLOAN/SDSS.r', 'Error', 'Jy', '6141.1230039377', '1055.5126512194', '0.8388260369861025.2')
('2MASS/2MASS.J', 'Error', 'Jy', '12350.0', '1624.3190191027', '0.26200347539902424')
('2MASS/2MASS.H', 'Error', 'Jy', '16620.0', '2509.4034987068', '0.16377195878510725')
